epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.866,1.79642,2.91178,1.37794,0.49535,0.44844,0.44051,0.20294,1.70216,1.85951,1.43479,0.000332797,0.000332797,0.000332797
2,340.75,1.6251,1.87708,1.28476,0.5963,0.51458,0.54221,0.2639,1.62585,1.61959,1.37891,0.000652941,0.000652941,0.000652941
3,478.978,1.58776,1.60086,1.26626,0.63545,0.58738,0.63043,0.32143,1.61705,1.49052,1.38093,0.000959885,0.000959885,0.000959885
4,606.125,1.54721,1.45954,1.24012,0.70267,0.59724,0.66716,0.33489,1.63452,1.48094,1.40969,0.0009406,0.0009406,0.0009406
5,735.075,1.52084,1.3651,1.2239,0.74442,0.62094,0.6991,0.35344,1.62924,1.3184,1.38671,0.0009208,0.0009208,0.0009208
6,865.206,1.48184,1.28644,1.20623,0.69178,0.65496,0.70911,0.37025,1.57137,1.29602,1.32657,0.000901,0.000901,0.000901
7,993.688,1.46209,1.2324,1.19237,0.7493,0.64454,0.72882,0.39221,1.53335,1.22804,1.319,0.0008812,0.0008812,0.0008812
8,1123.51,1.43973,1.18969,1.18231,0.73303,0.67934,0.74193,0.38703,1.56821,1.20986,1.33547,0.0008614,0.0008614,0.0008614
9,1253.97,1.4246,1.15269,1.1739,0.7481,0.67187,0.75375,0.39628,1.55692,1.18295,1.34031,0.0008416,0.0008416,0.0008416
10,1383.33,1.40777,1.12847,1.16684,0.75608,0.67073,0.75597,0.4033,1.53697,1.16217,1.32453,0.0008218,0.0008218,0.0008218
11,1513.81,1.38493,1.08749,1.156,0.74919,0.6842,0.75186,0.40239,1.56554,1.14532,1.32362,0.000802,0.000802,0.000802
12,1643.78,1.39409,1.07585,1.15405,0.77462,0.70576,0.79051,0.43184,1.5061,1.09709,1.28588,0.0007822,0.0007822,0.0007822
13,1774.06,1.36343,1.05251,1.14327,0.77124,0.70124,0.78623,0.42897,1.49346,1.09574,1.29029,0.0007624,0.0007624,0.0007624
14,1903.95,1.36902,1.04141,1.14737,0.78028,0.70823,0.78199,0.42455,1.51326,1.09554,1.30442,0.0007426,0.0007426,0.0007426
15,2034.95,1.3565,1.03109,1.14451,0.78751,0.70107,0.78904,0.4366,1.49014,1.07769,1.27901,0.0007228,0.0007228,0.0007228
16,2165.83,1.34778,1.02402,1.13704,0.74538,0.72322,0.79269,0.43224,1.50726,1.0584,1.28314,0.000703,0.000703,0.000703
17,2296.76,1.33172,0.99474,1.13226,0.78087,0.73194,0.797,0.43059,1.49815,1.03378,1.27478,0.0006832,0.0006832,0.0006832
18,2426.99,1.32717,0.983,1.13131,0.79666,0.7288,0.81047,0.45236,1.47564,0.99889,1.27045,0.0006634,0.0006634,0.0006634
19,2559.67,1.31949,0.97417,1.12384,0.77875,0.73402,0.79957,0.42656,1.51444,1.02176,1.28715,0.0006436,0.0006436,0.0006436
20,2690.73,1.30901,0.95286,1.11571,0.78419,0.73877,0.81383,0.45097,1.48017,1.01174,1.26551,0.0006238,0.0006238,0.0006238
21,2821.11,1.30805,0.94687,1.11695,0.78962,0.74019,0.81389,0.44788,1.47841,0.98876,1.26606,0.000604,0.000604,0.000604
22,2953.89,1.29991,0.93555,1.11435,0.79229,0.7426,0.81071,0.44601,1.46884,0.98032,1.25685,0.0005842,0.0005842,0.0005842
23,3085.22,1.29168,0.92729,1.11539,0.79222,0.75445,0.82337,0.4625,1.46315,0.96336,1.26003,0.0005644,0.0005644,0.0005644
24,3216.21,1.29135,0.92076,1.11427,0.79039,0.7539,0.82122,0.45391,1.47601,0.97228,1.26606,0.0005446,0.0005446,0.0005446
25,3346.21,1.27278,0.91344,1.10514,0.77428,0.75064,0.80907,0.44902,1.479,0.96676,1.26171,0.0005248,0.0005248,0.0005248
26,3472.38,1.26782,0.89394,1.0985,0.79525,0.77308,0.82529,0.45988,1.46534,0.94042,1.24967,0.000505,0.000505,0.000505
27,3597,1.2752,0.89185,1.10484,0.79554,0.75857,0.82931,0.45759,1.47213,0.94524,1.25941,0.0004852,0.0004852,0.0004852
28,3722.42,1.26823,0.88655,1.09575,0.78967,0.76741,0.82602,0.46425,1.45953,0.9366,1.24592,0.0004654,0.0004654,0.0004654
29,3848.53,1.25607,0.86668,1.09106,0.79391,0.78255,0.84391,0.47549,1.44994,0.91659,1.24408,0.0004456,0.0004456,0.0004456
30,3976.04,1.23247,0.85402,1.08478,0.80639,0.77621,0.84144,0.47723,1.44238,0.92073,1.24441,0.0004258,0.0004258,0.0004258
31,4102.46,1.24264,0.85466,1.09194,0.81355,0.77241,0.83665,0.46887,1.44722,0.92439,1.24031,0.000406,0.000406,0.000406
32,4229.52,1.22779,0.84696,1.08296,0.81398,0.78103,0.84886,0.47801,1.44463,0.89733,1.23742,0.0003862,0.0003862,0.0003862
33,4376.7,1.23005,0.84174,1.08439,0.81933,0.78276,0.8502,0.4799,1.45148,0.90377,1.2411,0.0003664,0.0003664,0.0003664
34,4531.39,1.22645,0.83826,1.08572,0.81152,0.79057,0.8487,0.48039,1.44211,0.90313,1.24159,0.0003466,0.0003466,0.0003466
35,4685.91,1.21663,0.82345,1.07683,0.82234,0.77292,0.84701,0.47795,1.44184,0.89459,1.23804,0.0003268,0.0003268,0.0003268
36,4840.58,1.22015,0.82334,1.07985,0.82956,0.78003,0.85264,0.48724,1.43406,0.88094,1.23368,0.000307,0.000307,0.000307
37,4995.22,1.20484,0.80722,1.07347,0.82391,0.77601,0.84533,0.48588,1.43219,0.88611,1.23404,0.0002872,0.0002872,0.0002872
38,5130.53,1.20127,0.80101,1.07019,0.80221,0.79323,0.85148,0.48884,1.42281,0.878,1.22072,0.0002674,0.0002674,0.0002674
39,5255.37,1.19987,0.79626,1.06845,0.82185,0.77582,0.85227,0.48926,1.43268,0.88203,1.22878,0.0002476,0.0002476,0.0002476
40,5380.12,1.18966,0.78171,1.06824,0.82332,0.7809,0.854,0.49294,1.42522,0.87377,1.22508,0.0002278,0.0002278,0.0002278
41,5538.59,1.16617,0.69944,1.0766,0.82202,0.79134,0.85163,0.49166,1.4109,0.86252,1.21458,0.000208,0.000208,0.000208
42,5664.06,1.15681,0.69291,1.07158,0.80387,0.80212,0.85303,0.4924,1.41709,0.85815,1.2229,0.0001882,0.0001882,0.0001882
43,5789.7,1.15242,0.68066,1.07203,0.82412,0.79512,0.85313,0.49329,1.42593,0.85787,1.22622,0.0001684,0.0001684,0.0001684
44,5915.88,1.13756,0.66819,1.06595,0.82429,0.79483,0.86037,0.49859,1.40652,0.84504,1.21495,0.0001486,0.0001486,0.0001486
45,6042.15,1.1329,0.6609,1.06202,0.8305,0.78205,0.85409,0.49836,1.40845,0.8468,1.21392,0.0001288,0.0001288,0.0001288
46,6166.84,1.12189,0.6508,1.05904,0.82247,0.79679,0.85758,0.49979,1.40304,0.84205,1.21389,0.000109,0.000109,0.000109
47,6291.11,1.11464,0.64277,1.05456,0.8174,0.79847,0.85615,0.49649,1.41145,0.84757,1.21783,8.92e-05,8.92e-05,8.92e-05
48,6417.99,1.1217,0.64666,1.05942,0.82986,0.79334,0.85639,0.4982,1.4119,0.83835,1.21538,6.94e-05,6.94e-05,6.94e-05
49,6545.23,1.11326,0.63497,1.05257,0.82202,0.80043,0.85891,0.49969,1.41037,0.83442,1.21469,4.96e-05,4.96e-05,4.96e-05
50,6670.72,1.10382,0.63472,1.05174,0.82181,0.80424,0.85671,0.49946,1.41348,0.83703,1.2159,2.98e-05,2.98e-05,2.98e-05
